model,unfairness_metric,unfairness_weight,iteration,unfairness,kappa
GaussianNB,overall_accuracy_equality,0,1,0.12411039411582822,0.4797254265317923
GaussianNB,overall_accuracy_equality,0,2,0.12404457725738816,0.48256792673897997
GaussianNB,overall_accuracy_equality,0,3,0.12898781718314437,0.46214237723680923
GaussianNB,overall_accuracy_equality,0,4,0.12319843873684935,0.4788459470917211
GaussianNB,overall_accuracy_equality,0,5,0.13998342382538934,0.4523302361584062
GaussianNB,overall_accuracy_equality,0,6,0.12347750668203081,0.480801725679463
GaussianNB,overall_accuracy_equality,0,7,0.12520700412252278,0.47944596138713325
GaussianNB,overall_accuracy_equality,0,8,0.1231271571897393,0.4798355319280664
GaussianNB,overall_accuracy_equality,0,9,0.1383977723357987,0.45194628116753743
GaussianNB,overall_accuracy_equality,0,10,0.1240078625239445,0.47750548076832167
GaussianNB,overall_accuracy_equality,0,11,0.14203103686851523,0.44782966124248574
GaussianNB,overall_accuracy_equality,0,12,0.12590046822265225,0.47188470341173705
GaussianNB,overall_accuracy_equality,0,13,0.12377741787330696,0.47974303122571227
GaussianNB,overall_accuracy_equality,0,14,0.13082962857193717,0.4640383370399929
GaussianNB,overall_accuracy_equality,0,15,0.12517936622924947,0.47784405648110306
GaussianNB,overall_accuracy_equality,0,16,0.1422686776500336,0.4533297341758818
GaussianNB,overall_accuracy_equality,0,17,0.13700071279214557,0.45640864361100797
GaussianNB,overall_accuracy_equality,0,18,0.13997279457857573,0.4592045294972227
GaussianNB,overall_accuracy_equality,0,19,0.13171125011019147,0.4628644752712687
GaussianNB,overall_accuracy_equality,0,20,0.13570462671830827,0.45593388318184425
GaussianNB,overall_accuracy_equality,0,21,0.12731636695822252,0.47355187264705584
GaussianNB,overall_accuracy_equality,0,22,0.12366969323563115,0.4782704306675541
GaussianNB,overall_accuracy_equality,0,23,0.1216597188277192,0.48042134534227376
GaussianNB,overall_accuracy_equality,0,24,0.1325595761171777,0.47020688178359
GaussianNB,overall_accuracy_equality,0,25,0.14189670112028005,0.45496806159179165
GaussianNB,overall_accuracy_equality,0,26,0.124788242972808,0.4792805655195639
GaussianNB,overall_accuracy_equality,0,27,0.1325537135483944,0.4665637873995536
GaussianNB,overall_accuracy_equality,0,28,0.12410874515980544,0.4790718297796812
GaussianNB,overall_accuracy_equality,0,29,0.1285821467819935,0.4675690002312097
GaussianNB,overall_accuracy_equality,0,30,0.12469865233947619,0.47652153652067386
GaussianNB,overall_accuracy_equality,0,31,0.13425158150397423,0.4578176724815187
GaussianNB,overall_accuracy_equality,0,32,0.12324756383284013,0.48301101771171473
GaussianNB,overall_accuracy_equality,0,33,0.12677778850544794,0.46212150586560674
GaussianNB,overall_accuracy_equality,0,34,0.1334790516496224,0.43262246381251834
GaussianNB,overall_accuracy_equality,0,35,0.13845344763534922,0.45380752075141373
GaussianNB,overall_accuracy_equality,0,36,0.12422079692936933,0.48007271468285295
GaussianNB,overall_accuracy_equality,0,37,0.12303582223851572,0.4775519551656237
GaussianNB,overall_accuracy_equality,0,38,0.1250338915243677,0.48060143548332135
GaussianNB,overall_accuracy_equality,0,39,0.1382846731357154,0.4600458340660585
GaussianNB,overall_accuracy_equality,0,40,0.1238742217482216,0.46988488202361844
GaussianNB,overall_accuracy_equality,0,41,0.12261031437317366,0.47274192773830037
GaussianNB,overall_accuracy_equality,0,42,0.11895415070260798,0.4805113155463536
GaussianNB,overall_accuracy_equality,0,43,0.14515777465439594,0.45172125265352564
GaussianNB,overall_accuracy_equality,0,44,0.12394371978772589,0.48359279424497537
GaussianNB,overall_accuracy_equality,0,45,0.1376154028056269,0.4567700991539932
GaussianNB,overall_accuracy_equality,0,46,0.13947943942319227,0.4567131471610075
GaussianNB,overall_accuracy_equality,0,47,0.13681123966112385,0.45568492780928865
GaussianNB,overall_accuracy_equality,0,48,0.13797036116174227,0.45814125330867195
GaussianNB,overall_accuracy_equality,0,49,0.12429752494501514,0.48029855349229666
GaussianNB,overall_accuracy_equality,0,50,0.13290738608621394,0.4573479791860175
GaussianNB,overall_accuracy_equality,0,51,0.13141597880078676,0.4633239337184646
GaussianNB,overall_accuracy_equality,0,52,0.13233954424040975,0.4659738629127826
GaussianNB,overall_accuracy_equality,0,53,0.1249015370973916,0.4775456219071166
GaussianNB,overall_accuracy_equality,0,54,0.13149105142674974,0.4670359857175232
GaussianNB,overall_accuracy_equality,0,55,0.1226608860697366,0.479766111829663
GaussianNB,overall_accuracy_equality,0,56,0.09868043499103651,0.42332584173956933
GaussianNB,overall_accuracy_equality,0,57,0.14205753516764472,0.4581611947911638
GaussianNB,overall_accuracy_equality,0,58,0.12876470729007566,0.4604606515737076
GaussianNB,overall_accuracy_equality,0,59,0.12186794792630032,0.4754014060125161
GaussianNB,overall_accuracy_equality,0,60,0.13471924461454532,0.4580729237920461
GaussianNB,overall_accuracy_equality,0,61,0.12245133403038541,0.4811206521832839
GaussianNB,overall_accuracy_equality,0,62,0.0733977621035892,0.4249404600492112
GaussianNB,overall_accuracy_equality,0,63,0.12433213768266979,0.4755939492267484
GaussianNB,overall_accuracy_equality,0,64,0.12533299125500627,0.477509095730911
GaussianNB,overall_accuracy_equality,0,65,0.12343746207252804,0.48107668563708667
GaussianNB,overall_accuracy_equality,0,66,0.1316275090705323,0.46368145676355416
