model,unfairness_metric,unfairness_weight,iteration,unfairness,kappa
GaussianNB,overall_accuracy_equality,0,1,0.09194739050903435,0.2471354965199439
GaussianNB,overall_accuracy_equality,0,2,0.11785714285714285,0.185813722131356
GaussianNB,overall_accuracy_equality,0,3,0.07826061549165263,0.28335818461390383
GaussianNB,overall_accuracy_equality,0,4,0.09732860240735425,0.23423477827762523
GaussianNB,overall_accuracy_equality,0,5,0.15412425168293709,0.2813455747664989
GaussianNB,overall_accuracy_equality,0,6,0.1602291997842679,0.15045078600113634
GaussianNB,overall_accuracy_equality,0,7,0.11576074657453374,0.2653270257822352
GaussianNB,overall_accuracy_equality,0,8,0.057197247012370264,0.1926882452773299
GaussianNB,overall_accuracy_equality,0,9,0.14503782760173922,0.28116402270010454
GaussianNB,overall_accuracy_equality,0,10,0.11921903975193282,0.23344328483470161
GaussianNB,overall_accuracy_equality,0,11,0.10615013769440376,0.2278813401944774
GaussianNB,overall_accuracy_equality,0,12,0.16953936890721788,0.23325606041899494
GaussianNB,overall_accuracy_equality,0,13,0.12348117171176534,0.2758847064449419
GaussianNB,overall_accuracy_equality,0,14,0.10374545173491995,0.23501984192385622
GaussianNB,overall_accuracy_equality,0,15,0.11761424988018856,0.2506318050677755
GaussianNB,overall_accuracy_equality,0,16,0.13473640574361223,0.23026816307565218
GaussianNB,overall_accuracy_equality,0,17,0.10121242542581216,0.22720000527722808
GaussianNB,overall_accuracy_equality,0,18,0.030022627939294638,0.22411036236659163
GaussianNB,overall_accuracy_equality,0,19,0.09707088296905232,0.2143072198734329
GaussianNB,overall_accuracy_equality,0,20,0.1007367632367632,0.20496831883296865
GaussianNB,overall_accuracy_equality,0,21,0.03736466236466238,0.24443417524882588
GaussianNB,overall_accuracy_equality,0,22,0.03743481451925823,0.2323473797629503
GaussianNB,overall_accuracy_equality,0,23,0.18907618527269926,0.2681092474118769
GaussianNB,overall_accuracy_equality,0,24,0.10975346142116363,0.27020703841196037
GaussianNB,overall_accuracy_equality,0,25,0.08021897692950328,0.29152569989163174
GaussianNB,overall_accuracy_equality,0,26,0.0297770500235289,0.24098303743433389
GaussianNB,overall_accuracy_equality,0,27,0.11085645374029748,0.23012576086039394
GaussianNB,overall_accuracy_equality,0,28,0.07396834649915927,0.2232017880005933
GaussianNB,overall_accuracy_equality,0,29,0.15925120718465194,0.2536204237428285
GaussianNB,overall_accuracy_equality,0,30,0.05448146061477657,0.22718252199527816
GaussianNB,overall_accuracy_equality,0,31,0.12047475904619372,0.2752036622496557
GaussianNB,overall_accuracy_equality,0,32,0.15365254599541617,0.20490182744380425
GaussianNB,overall_accuracy_equality,0,33,0.11928847380969325,0.23049013482494224
GaussianNB,overall_accuracy_equality,0,34,0.0777561977561978,0.1666514236510383
GaussianNB,overall_accuracy_equality,0,35,0.078823160058858,0.25473338833000747
GaussianNB,overall_accuracy_equality,0,36,0.08092216603391802,0.23531656875270543
GaussianNB,overall_accuracy_equality,0,37,0.08364373572706904,0.18344549752287714
GaussianNB,overall_accuracy_equality,0,38,0.11824005212306127,0.14297237445077804
