model,unfairness_metric,unfairness_weight,iteration,unfairness,auc,protected_column_selected_prop,fair_feature_selected_prop,unfair_feature_selected_prop
GaussianNB,overall_accuracy_equality,0,1,0.08703135375794452,0.7203653883424909,0.0,1.0,1.0
GaussianNB,overall_accuracy_equality,0,2,0.08655589362063026,0.7197066338181133,0.0,1.0,1.0
GaussianNB,overall_accuracy_equality,0,3,0.08525505690345997,0.7215760279384151,0.25,1.0,1.0
GaussianNB,overall_accuracy_equality,0,4,0.08454514607198779,0.7209874933703702,0.0,1.0,1.0
GaussianNB,overall_accuracy_equality,0,5,0.1067925436246247,0.7016723068799522,0.25,1.0,1.0
GaussianNB,overall_accuracy_equality,0,6,0.08472681346343394,0.7191645666539249,0.0,1.0,1.0
GaussianNB,overall_accuracy_equality,0,7,0.08719180990264674,0.7195044005939853,0.0,1.0,1.0
GaussianNB,overall_accuracy_equality,0,8,0.08299739032687184,0.7198126840072387,0.0,1.0,1.0
GaussianNB,overall_accuracy_equality,0,9,0.08729404960936832,0.7199601565164951,0.0,1.0,1.0
GaussianNB,overall_accuracy_equality,0,10,0.08539131187669732,0.7207354555930668,0.0,1.0,1.0
GaussianNB,overall_accuracy_equality,0,11,0.0885631952549083,0.7203941933606737,0.0,1.0,1.0
GaussianNB,overall_accuracy_equality,0,12,0.08591150918148044,0.7197406927223133,0.25,1.0,1.0
GaussianNB,overall_accuracy_equality,0,13,0.0906606786196704,0.7204214314978291,0.25,1.0,1.0
GaussianNB,overall_accuracy_equality,0,14,0.10386526122510034,0.7202427144651243,0.0,1.0,1.0
GaussianNB,overall_accuracy_equality,0,15,0.08563007515445842,0.7200418356715518,0.0,1.0,1.0
GaussianNB,overall_accuracy_equality,0,16,0.09111255975662752,0.7103275806555607,0.25,1.0,1.0
GaussianNB,overall_accuracy_equality,0,17,0.08861029626805147,0.7069217755226702,0.25,1.0,1.0
GaussianNB,overall_accuracy_equality,0,18,0.10409511146139422,0.7050992261323803,0.25,1.0,1.0
