model,unfairness_metric,unfairness_weight,iteration,unfairness,auc,protected_column_selected_prop
GaussianNB,overall_accuracy_equality,0,1,0.20947802197802196,0.6623830117251169,0.5
GaussianNB,overall_accuracy_equality,0,2,0.2081770081770082,0.7350166281087334,0.75
GaussianNB,overall_accuracy_equality,0,3,0.12167762792762792,0.6326562691694271,0.25
GaussianNB,overall_accuracy_equality,0,4,0.18521807235480003,0.6770445134575569,0.25
GaussianNB,overall_accuracy_equality,0,5,0.2468077514273166,0.6984126984126984,0.25
GaussianNB,overall_accuracy_equality,0,6,0.06421826965305225,0.6759067321567321,0.5
GaussianNB,overall_accuracy_equality,0,7,0.15778388278388278,0.6879783593599383,0.25
GaussianNB,overall_accuracy_equality,0,8,0.11402337915495811,0.6658494283494284,0.25
GaussianNB,overall_accuracy_equality,0,9,0.11532398760659632,0.675254031818677,0.25
GaussianNB,overall_accuracy_equality,0,10,0.09692752899274637,0.6495129870129871,0.5
GaussianNB,overall_accuracy_equality,0,11,0.1318694590433721,0.665192019989814,0.5
GaussianNB,overall_accuracy_equality,0,12,0.2151388888888889,0.6977973313451256,0.0
GaussianNB,overall_accuracy_equality,0,13,0.16573412698412696,0.6834722375792421,0.25
GaussianNB,overall_accuracy_equality,0,14,0.22741475513214646,0.6424447231512449,0.0
GaussianNB,overall_accuracy_equality,0,15,0.20502567078654038,0.7374434828279137,0.5
GaussianNB,overall_accuracy_equality,0,16,0.17853535353535355,0.7194212188777406,0.0
GaussianNB,overall_accuracy_equality,0,17,0.07149475524475524,0.6313502673796791,0.75
GaussianNB,overall_accuracy_equality,0,18,0.06909334023464458,0.6580240665766981,0.25
GaussianNB,overall_accuracy_equality,0,19,0.1391105271540054,0.7096275252525253,0.5
GaussianNB,overall_accuracy_equality,0,20,0.12316849816849818,0.6914905623160436,0.5
GaussianNB,overall_accuracy_equality,0,21,0.05160387381497222,0.6726603799014285,1.0
GaussianNB,overall_accuracy_equality,0,22,0.16965187590187591,0.6909094092182326,0.25
GaussianNB,overall_accuracy_equality,0,23,0.21481931112365893,0.7196448288553552,1.0
GaussianNB,overall_accuracy_equality,0,24,0.08510101010101012,0.700602966939284,0.25
GaussianNB,overall_accuracy_equality,0,25,0.16247086247086245,0.6557955830933772,0.25
GaussianNB,overall_accuracy_equality,0,26,0.08195512820512821,0.6876984126984127,0.25
GaussianNB,overall_accuracy_equality,0,27,0.22032593010853882,0.7128482850736855,0.25
GaussianNB,overall_accuracy_equality,0,28,0.13870772946859905,0.7200237262737263,0.25
GaussianNB,overall_accuracy_equality,0,29,0.11492673992673991,0.6804416478129713,0.25
GaussianNB,overall_accuracy_equality,0,30,0.09812723508375684,0.7202832715847591,0.5
GaussianNB,overall_accuracy_equality,0,31,0.1695977633477633,0.6364830022918258,0.75
GaussianNB,overall_accuracy_equality,0,32,0.09559523809523812,0.6169373754900072,0.5
GaussianNB,overall_accuracy_equality,0,33,0.12910353535353536,0.685687886996904,0.0
GaussianNB,overall_accuracy_equality,0,34,0.1955764411027569,0.6878417515791742,0.25
GaussianNB,overall_accuracy_equality,0,35,0.22918199554069119,0.6747330520356837,0.5
GaussianNB,overall_accuracy_equality,0,36,0.0324141438271873,0.6802624458874459,0.5
GaussianNB,overall_accuracy_equality,0,37,0.17124904081425818,0.6863476092191263,0.25
GaussianNB,overall_accuracy_equality,0,38,0.09703596365495679,0.7223257831667442,0.5
GaussianNB,overall_accuracy_equality,0,39,0.12165376290376292,0.6978299478299479,0.0
GaussianNB,overall_accuracy_equality,0,40,0.08694099378881984,0.6089951714951715,0.0
GaussianNB,overall_accuracy_equality,0,41,0.16435245310245308,0.7022602770205072,1.0
GaussianNB,overall_accuracy_equality,0,42,0.1390151515151515,0.6955950482266273,0.0
GaussianNB,overall_accuracy_equality,0,43,0.1645742207139266,0.6918338605838605,0.5
GaussianNB,overall_accuracy_equality,0,44,0.14024174497000585,0.6686719681284898,0.5
GaussianNB,overall_accuracy_equality,0,45,0.2441468253968254,0.6764397653000593,0.5
GaussianNB,overall_accuracy_equality,0,46,0.10424187527448397,0.6974007610037022,0.5
GaussianNB,overall_accuracy_equality,0,47,0.1609472049689441,0.6957590472393104,0.25
GaussianNB,overall_accuracy_equality,0,48,0.09177489177489179,0.714471868075987,0.0
GaussianNB,overall_accuracy_equality,0,49,0.18888888888888886,0.6823551448551448,0.25
GaussianNB,overall_accuracy_equality,0,50,0.16864110177897362,0.6606221086919617,0.5
GaussianNB,overall_accuracy_equality,0,51,0.11738334129638481,0.7035267935725602,0.5
GaussianNB,overall_accuracy_equality,0,52,0.08542490118577079,0.7572030165994698,0.25
GaussianNB,overall_accuracy_equality,0,53,0.17958278436539304,0.7308218742042272,1.0
GaussianNB,overall_accuracy_equality,0,54,0.10039613164613159,0.7171611711853081,0.0
GaussianNB,overall_accuracy_equality,0,55,0.1724080086580087,0.6866396038340445,0.25
GaussianNB,overall_accuracy_equality,0,56,0.18465909090909094,0.692887047163363,0.25
GaussianNB,overall_accuracy_equality,0,57,0.11206461666987982,0.669998641709168,0.5
GaussianNB,overall_accuracy_equality,0,58,0.05760170628591685,0.6852687608444188,0.25
GaussianNB,overall_accuracy_equality,0,59,0.117363191653473,0.6630464294794959,0.25
GaussianNB,overall_accuracy_equality,0,60,0.22066990980034457,0.6885531774512038,0.75
GaussianNB,overall_accuracy_equality,0,61,0.1912052319661015,0.7163925229182582,0.5
GaussianNB,overall_accuracy_equality,0,62,0.17246808143547276,0.7087890179995443,0.5
GaussianNB,overall_accuracy_equality,0,63,0.15519697693610737,0.6586367246173832,0.5
GaussianNB,overall_accuracy_equality,0,64,0.14645328355854673,0.69132292827945,0.75
GaussianNB,overall_accuracy_equality,0,65,0.26921989705762295,0.6872425129218607,0.25
GaussianNB,overall_accuracy_equality,0,66,0.09131131549609814,0.6836232088989442,0.25
GaussianNB,overall_accuracy_equality,0,67,0.17162004662004668,0.655796287046287,0.25
GaussianNB,overall_accuracy_equality,0,68,0.18666780079823556,0.6695381456358287,0.5
GaussianNB,overall_accuracy_equality,0,69,0.12518939393939393,0.7356249143013849,0.25
GaussianNB,overall_accuracy_equality,0,70,0.18707729468599033,0.7454706477732794,0.25
GaussianNB,overall_accuracy_equality,0,71,0.07974567099567098,0.7119369157412636,0.25
GaussianNB,overall_accuracy_equality,0,72,0.14854797979797982,0.6979229620176417,0.25
