model,unfairness_metric,unfairness_weight,iteration,unfairness,auc,protected_column_selected_prop
GaussianNB,overall_accuracy_equality,0,1,0.03552048408212791,0.6210972408196145,0.0
GaussianNB,overall_accuracy_equality,0,2,0.09880952380952382,0.6089281848750687,0.25
GaussianNB,overall_accuracy_equality,0,3,0.08725187648949255,0.6487564617222026,0.25
GaussianNB,overall_accuracy_equality,0,4,0.08229442543041449,0.6184384233627265,0.25
GaussianNB,overall_accuracy_equality,0,5,0.1457986343989865,0.6383963233272448,0.5
GaussianNB,overall_accuracy_equality,0,6,0.09706329663342499,0.6270659115090071,0.25
GaussianNB,overall_accuracy_equality,0,7,0.10596789451194485,0.6529171330672903,0.75
GaussianNB,overall_accuracy_equality,0,8,0.048154206719329934,0.6271953325074826,0.75
GaussianNB,overall_accuracy_equality,0,9,0.13075043894726196,0.6452337416054825,0.25
GaussianNB,overall_accuracy_equality,0,10,0.09882028703044149,0.6226407575891976,0.5
GaussianNB,overall_accuracy_equality,0,11,0.08766852852652007,0.6299822916101986,0.25
GaussianNB,overall_accuracy_equality,0,12,0.1477444971123461,0.637802906748824,0.5
GaussianNB,overall_accuracy_equality,0,13,0.15873364109965887,0.6233795171958006,0.5
GaussianNB,overall_accuracy_equality,0,14,0.09135392646499398,0.6321181982929934,0.75
GaussianNB,overall_accuracy_equality,0,15,0.12471777846023141,0.6411613680562206,0.75
GaussianNB,overall_accuracy_equality,0,16,0.0632552896229309,0.6211046340670359,0.5
GaussianNB,overall_accuracy_equality,0,17,0.10906425608942771,0.6361117345235585,0.25
GaussianNB,overall_accuracy_equality,0,18,0.056361604278270944,0.6136077986686665,0.5
GaussianNB,overall_accuracy_equality,0,19,0.0971584670097256,0.6283536470874693,0.5
GaussianNB,overall_accuracy_equality,0,20,0.08406843156843154,0.6105178861838765,0.5
GaussianNB,overall_accuracy_equality,0,21,0.06117418617418616,0.6405912054843044,0.5
GaussianNB,overall_accuracy_equality,0,22,0.0815561054535072,0.6388158063294602,0.25
GaussianNB,overall_accuracy_equality,0,23,0.15754806325050164,0.6419589988555506,0.5
GaussianNB,overall_accuracy_equality,0,24,0.056645353313055535,0.6588433371536003,0.5
GaussianNB,overall_accuracy_equality,0,25,0.07829031348768192,0.6556857735099089,0.25
GaussianNB,overall_accuracy_equality,0,26,0.09213598738246628,0.6263622386062455,0.0
GaussianNB,overall_accuracy_equality,0,27,0.09346400402205862,0.6329447257202505,0.0
GaussianNB,overall_accuracy_equality,0,28,0.09327684501818412,0.6230374293959121,0.25
GaussianNB,overall_accuracy_equality,0,29,0.044441164628326674,0.650777732091859,0.5
GaussianNB,overall_accuracy_equality,0,30,0.03945089278921135,0.6049208565419929,0.0
GaussianNB,overall_accuracy_equality,0,31,0.08855423649474138,0.6343926535837505,0.25
GaussianNB,overall_accuracy_equality,0,32,0.12220672155014063,0.6307914359102959,0.5
GaussianNB,overall_accuracy_equality,0,33,0.13969982353476845,0.6315124589173201,0.5
GaussianNB,overall_accuracy_equality,0,34,0.14472764972764973,0.6105815040047149,0.0
GaussianNB,overall_accuracy_equality,0,35,0.11281962697866593,0.633887152728952,0.25
GaussianNB,overall_accuracy_equality,0,36,0.045635084694205116,0.6299147674749441,0.0
GaussianNB,overall_accuracy_equality,0,37,0.06935561643894977,0.6224434742331709,0.0
GaussianNB,overall_accuracy_equality,0,38,0.12052838164251206,0.5898400799669851,0.0
GaussianNB,overall_accuracy_equality,0,39,0.1511872162310759,0.6343599167190119,0.5
GaussianNB,overall_accuracy_equality,0,40,0.11995284346556759,0.628894428361281,0.5
GaussianNB,overall_accuracy_equality,0,41,0.08517751322909185,0.6025199777552055,0.5
GaussianNB,overall_accuracy_equality,0,42,0.09350019133328907,0.6424786870617809,0.25
GaussianNB,overall_accuracy_equality,0,43,0.11372859371462474,0.6135361059856284,0.5
GaussianNB,overall_accuracy_equality,0,44,0.07406147938196873,0.6069211336498317,0.5
GaussianNB,overall_accuracy_equality,0,45,0.10274910509420834,0.630931304021147,0.5
GaussianNB,overall_accuracy_equality,0,46,0.06430301296720058,0.622527878195251,0.5
GaussianNB,overall_accuracy_equality,0,47,0.11335205126681101,0.6264000595300012,0.5
GaussianNB,overall_accuracy_equality,0,48,0.11523485624172126,0.6040260203366292,0.25
GaussianNB,overall_accuracy_equality,0,49,0.09409466421204976,0.67201736920615,0.5
GaussianNB,overall_accuracy_equality,0,50,0.056495879054259665,0.6328763798937062,0.5
GaussianNB,overall_accuracy_equality,0,51,0.08278443278443279,0.6191873389317356,0.25
GaussianNB,overall_accuracy_equality,0,52,0.049682468503806476,0.643158796612744,0.5
GaussianNB,overall_accuracy_equality,0,53,0.06774253526879123,0.640977673337914,0.25
GaussianNB,overall_accuracy_equality,0,54,0.11857446283562761,0.6274271025135479,0.5
GaussianNB,overall_accuracy_equality,0,55,0.1468308584607536,0.6275087139988138,0.25
GaussianNB,overall_accuracy_equality,0,56,0.04260099447890919,0.6198037801131306,0.5
GaussianNB,overall_accuracy_equality,0,57,0.029692417058571452,0.6195966527066122,0.5
GaussianNB,overall_accuracy_equality,0,58,0.1319851258581236,0.6259791187984507,0.25
GaussianNB,overall_accuracy_equality,0,59,0.1449278840508232,0.6331704184680474,0.75
GaussianNB,overall_accuracy_equality,0,60,0.09030544214166093,0.6354589392005767,0.25
GaussianNB,overall_accuracy_equality,0,61,0.13095362004446087,0.6539606227106227,0.25
GaussianNB,overall_accuracy_equality,0,62,0.05701158280303065,0.6365093625584686,0.5
GaussianNB,overall_accuracy_equality,0,63,0.12569801229055175,0.6497089627572299,0.5
GaussianNB,overall_accuracy_equality,0,64,0.11285239625925902,0.6061259623242091,0.5
GaussianNB,overall_accuracy_equality,0,65,0.12994643485044077,0.6183150809112432,0.5
GaussianNB,overall_accuracy_equality,0,66,0.12007474833132725,0.6286214398351548,0.25
GaussianNB,overall_accuracy_equality,0,67,0.0607999072665176,0.6609318961013877,0.25
GaussianNB,overall_accuracy_equality,0,68,0.08676898157933174,0.6100657352430446,0.25
GaussianNB,overall_accuracy_equality,0,69,0.12737417204955154,0.6300796206565673,0.0
GaussianNB,overall_accuracy_equality,0,70,0.07794655160628652,0.6010507160711127,0.5
GaussianNB,overall_accuracy_equality,0,71,0.07562682570593963,0.628757977205022,0.0
GaussianNB,overall_accuracy_equality,0,72,0.1434156440923391,0.6141311708792044,0.5
GaussianNB,overall_accuracy_equality,0,73,0.11378465172174616,0.6195092854765585,0.5
GaussianNB,overall_accuracy_equality,0,74,0.11289807381281786,0.6231136508496384,1.0
GaussianNB,overall_accuracy_equality,0,75,0.11765798810893746,0.6105669367109727,0.25
GaussianNB,overall_accuracy_equality,0,76,0.06350760530917121,0.605679694954905,0.5
GaussianNB,overall_accuracy_equality,0,77,0.12297858703751155,0.6123735394634601,0.25
GaussianNB,overall_accuracy_equality,0,78,0.12012976197686392,0.6141122144626416,0.0
GaussianNB,overall_accuracy_equality,0,79,0.09585646999834643,0.6334827873574813,0.0
GaussianNB,overall_accuracy_equality,0,80,0.150822127851572,0.6218742702563322,0.5
