model,unfairness_metric,unfairness_weight,iteration,unfairness,auc,protected_column_selected_prop
GaussianNB,overall_accuracy_equality,0,1,0.052098870968195266,0.6898730246770697,0.5
GaussianNB,overall_accuracy_equality,0,2,0.06745852397993965,0.67824372427288,0.75
GaussianNB,overall_accuracy_equality,0,3,0.08359585961039473,0.6633825243820383,0.25
GaussianNB,overall_accuracy_equality,0,4,0.05011441395924637,0.6707221217198088,0.25
GaussianNB,overall_accuracy_equality,0,5,0.11859459365800273,0.6781289896313498,0.0
GaussianNB,overall_accuracy_equality,0,6,0.04911973370814465,0.6797669655397391,0.75
GaussianNB,overall_accuracy_equality,0,7,0.1361978479054788,0.6414197416719922,0.25
GaussianNB,overall_accuracy_equality,0,8,0.0493605412881421,0.6938028619080288,0.25
GaussianNB,overall_accuracy_equality,0,9,0.08542799347347907,0.6905501452622129,0.75
GaussianNB,overall_accuracy_equality,0,10,0.054640413473722754,0.6779312912782229,0.25
GaussianNB,overall_accuracy_equality,0,11,0.1623123798606649,0.6473890559371729,0.25
GaussianNB,overall_accuracy_equality,0,12,0.06390690375068217,0.6892653953543129,0.25
GaussianNB,overall_accuracy_equality,0,13,0.03572909492621201,0.6781133258704749,0.0
GaussianNB,overall_accuracy_equality,0,14,0.058788660562713424,0.6615934154291733,0.25
GaussianNB,overall_accuracy_equality,0,15,0.05897211675091746,0.6809938092776116,0.5
GaussianNB,overall_accuracy_equality,0,16,0.09294498259171394,0.6967188975048799,0.25
GaussianNB,overall_accuracy_equality,0,17,0.07842851592851594,0.6679988351227524,0.5
GaussianNB,overall_accuracy_equality,0,18,0.08765338462119815,0.668329808898497,0.75
GaussianNB,overall_accuracy_equality,0,19,0.06148552318459655,0.6642746052199046,0.25
GaussianNB,overall_accuracy_equality,0,20,0.11927124719462379,0.6812444172106136,0.0
GaussianNB,overall_accuracy_equality,0,21,0.071743550560361,0.6941394112059658,0.75
GaussianNB,overall_accuracy_equality,0,22,0.07795964369966875,0.6760581898707819,0.5
GaussianNB,overall_accuracy_equality,0,23,0.038270097322546714,0.684245793682304,0.5
GaussianNB,overall_accuracy_equality,0,24,0.04557496130147953,0.6865895767576904,0.0
GaussianNB,overall_accuracy_equality,0,25,0.07620531837745839,0.6986113501588745,0.5
GaussianNB,overall_accuracy_equality,0,26,0.0957317604386669,0.6678477267935868,0.25
GaussianNB,overall_accuracy_equality,0,27,0.09021461049751178,0.6575906425432393,0.5
GaussianNB,overall_accuracy_equality,0,28,0.07412594239233838,0.6793603731831683,0.5
GaussianNB,overall_accuracy_equality,0,29,0.09294641793594041,0.6973339526723308,0.75
GaussianNB,overall_accuracy_equality,0,30,0.10611086335213948,0.6941867803620984,0.25
GaussianNB,overall_accuracy_equality,0,31,0.05921480456589415,0.6770214417978464,0.25
GaussianNB,overall_accuracy_equality,0,32,0.10262599005941425,0.6892123463199984,0.25
GaussianNB,overall_accuracy_equality,0,33,0.08448544260755919,0.6795568387284552,0.25
GaussianNB,overall_accuracy_equality,0,34,0.028606193092023252,0.6581378682612797,0.25
GaussianNB,overall_accuracy_equality,0,35,0.055739547579489956,0.6816072024367611,0.75
GaussianNB,overall_accuracy_equality,0,36,0.039431939189527976,0.6847403564736616,0.25
GaussianNB,overall_accuracy_equality,0,37,0.048351280391111306,0.6954868312263852,0.75
GaussianNB,overall_accuracy_equality,0,38,0.057487405475588726,0.6799028752012851,0.0
GaussianNB,overall_accuracy_equality,0,39,0.08012066030025429,0.6852986704338704,0.25
GaussianNB,overall_accuracy_equality,0,40,0.08238259470122594,0.6622053147198481,0.5
GaussianNB,overall_accuracy_equality,0,41,0.05620604036246679,0.6811028056957571,0.25
GaussianNB,overall_accuracy_equality,0,42,0.0273940410292538,0.6617702647593952,0.5
GaussianNB,overall_accuracy_equality,0,43,0.07415005312853107,0.6967582615492844,0.5
GaussianNB,overall_accuracy_equality,0,44,0.05601373438783008,0.6865121933756109,0.5
GaussianNB,overall_accuracy_equality,0,45,0.06670126770464124,0.6597549318034186,0.5
GaussianNB,overall_accuracy_equality,0,46,0.08791998717481578,0.6754729155676891,0.75
GaussianNB,overall_accuracy_equality,0,47,0.05213760020810676,0.6682673964967498,0.0
GaussianNB,overall_accuracy_equality,0,48,0.09286744513540746,0.6723284223768049,0.5
GaussianNB,overall_accuracy_equality,0,49,0.04231189075883962,0.6755781550797519,0.75
GaussianNB,overall_accuracy_equality,0,50,0.08605874634496857,0.6451192140702323,0.25
GaussianNB,overall_accuracy_equality,0,51,0.030162398150517106,0.6954963466500828,0.5
GaussianNB,overall_accuracy_equality,0,52,0.048790378449175276,0.6776297672536699,0.0
GaussianNB,overall_accuracy_equality,0,53,0.04190211763698534,0.6960438619192196,0.25
GaussianNB,overall_accuracy_equality,0,54,0.15520072813251679,0.6899229771094968,0.25
GaussianNB,overall_accuracy_equality,0,55,0.08788704515828988,0.6687139974704411,0.5
GaussianNB,overall_accuracy_equality,0,56,0.03319711546593401,0.6863213852128556,0.0
GaussianNB,overall_accuracy_equality,0,57,0.04551645451776834,0.7036315351047494,0.5
GaussianNB,overall_accuracy_equality,0,58,0.09413784951136395,0.6720043970154315,0.25
GaussianNB,overall_accuracy_equality,0,59,0.11875676059852733,0.685758108642964,0.25
GaussianNB,overall_accuracy_equality,0,60,0.09423503690033488,0.6815466926083323,0.75
GaussianNB,overall_accuracy_equality,0,61,0.08632824144453069,0.6624577072290578,0.5
GaussianNB,overall_accuracy_equality,0,62,0.06500052266029704,0.6593838086147263,0.5
GaussianNB,overall_accuracy_equality,0,63,0.06874635423884695,0.6794741213628415,0.25
GaussianNB,overall_accuracy_equality,0,64,0.05414899272737303,0.695456310560489,0.75
GaussianNB,overall_accuracy_equality,0,65,0.042976255430991345,0.683866323932832,0.5
GaussianNB,overall_accuracy_equality,0,66,0.0932895666982266,0.6745471353838437,0.25
GaussianNB,overall_accuracy_equality,0,67,0.052497789662549504,0.6791569771414342,0.75
GaussianNB,overall_accuracy_equality,0,68,0.07777777777777777,0.6805750592887958,0.5
GaussianNB,overall_accuracy_equality,0,69,0.07424499244394281,0.7028987340935778,0.25
GaussianNB,overall_accuracy_equality,0,70,0.10478618334126102,0.6736895309310896,0.25
GaussianNB,overall_accuracy_equality,0,71,0.07666134892826384,0.6847304757359302,0.25
GaussianNB,overall_accuracy_equality,0,72,0.07952139902057523,0.6861726605409251,0.75
GaussianNB,overall_accuracy_equality,0,73,0.0830010729036387,0.6704257899072567,0.5
GaussianNB,overall_accuracy_equality,0,74,0.04968956114366335,0.6790139525348619,0.5
GaussianNB,overall_accuracy_equality,0,75,0.029761576822809555,0.6907030063469186,0.5
GaussianNB,overall_accuracy_equality,0,76,0.024572519282885175,0.6865047445549353,0.5
GaussianNB,overall_accuracy_equality,0,77,0.11358112679336507,0.6440636578718024,0.25
GaussianNB,overall_accuracy_equality,0,78,0.06661016911560982,0.6991199507771433,0.5
GaussianNB,overall_accuracy_equality,0,79,0.06609138810881196,0.6714712870240159,0.75
GaussianNB,overall_accuracy_equality,0,80,0.08066760335762646,0.6862002897159147,0.25
GaussianNB,overall_accuracy_equality,0,81,0.07684521251432755,0.697774324290574,0.25
GaussianNB,overall_accuracy_equality,0,82,0.08218700075705895,0.6853775212798539,0.25
GaussianNB,overall_accuracy_equality,0,83,0.041373301796163164,0.7105251497996394,0.5
GaussianNB,overall_accuracy_equality,0,84,0.046313848395033136,0.6747904757959207,0.25
GaussianNB,overall_accuracy_equality,0,85,0.05934874245865135,0.6704447304689305,0.5
GaussianNB,overall_accuracy_equality,0,86,0.05743896492668002,0.7004535239416572,0.75
GaussianNB,overall_accuracy_equality,0,87,0.059989102936248345,0.6893112126834263,0.5
GaussianNB,overall_accuracy_equality,0,88,0.04144214772761398,0.6953599970323991,0.5
GaussianNB,overall_accuracy_equality,0,89,0.07915862033736606,0.6849427432958675,0.75
GaussianNB,overall_accuracy_equality,0,90,0.11032172778006472,0.6815753360678606,0.5
GaussianNB,overall_accuracy_equality,0,91,0.06561088187933314,0.6783295339624784,0.25
GaussianNB,overall_accuracy_equality,0,92,0.05697149275309801,0.6952265620738618,0.75
GaussianNB,overall_accuracy_equality,0,93,0.03856172400953345,0.6907394688644688,0.5
GaussianNB,overall_accuracy_equality,0,94,0.05313503906469666,0.6683127434681913,0.75
GaussianNB,overall_accuracy_equality,0,95,0.0789967058332357,0.6641211317141178,0.5
GaussianNB,overall_accuracy_equality,0,96,0.08228123081908728,0.6928762660289153,0.25
GaussianNB,overall_accuracy_equality,0,97,0.04014693824044532,0.68418093166293,0.5
GaussianNB,overall_accuracy_equality,0,98,0.0541414296576653,0.6796455601162825,0.75
GaussianNB,overall_accuracy_equality,0,99,0.07273362085367327,0.6860511873152322,0.25
GaussianNB,overall_accuracy_equality,0,100,0.07343097202739862,0.6895066271045873,0.75
GaussianNB,overall_accuracy_equality,1,1,0.03289513139734493,0.6510088115198657,0.5
GaussianNB,overall_accuracy_equality,1,2,0.06330757176845689,0.6669581330714793,0.5
GaussianNB,overall_accuracy_equality,1,3,0.07295744379861219,0.6662537682239191,0.25
GaussianNB,overall_accuracy_equality,1,4,0.05926221756147526,0.6585516304324124,0.5
GaussianNB,overall_accuracy_equality,1,5,0.09222556157432485,0.6758438059879186,0.0
GaussianNB,overall_accuracy_equality,1,6,0.0548106885259185,0.67823862281865,0.75
GaussianNB,overall_accuracy_equality,1,7,0.1006422911214323,0.6539732249920734,0.25
GaussianNB,overall_accuracy_equality,1,8,0.043476035038545746,0.6813090554159027,0.25
GaussianNB,overall_accuracy_equality,1,9,0.08357336321170108,0.6697601623891993,0.25
GaussianNB,overall_accuracy_equality,1,10,0.08703142738537528,0.6941337978558417,0.5
GaussianNB,overall_accuracy_equality,1,11,0.08589487976357615,0.6519450756557756,0.25
GaussianNB,overall_accuracy_equality,1,12,0.057261292812332804,0.6744044493400163,0.0
GaussianNB,overall_accuracy_equality,1,13,0.0570177358626858,0.6790538754103781,0.25
GaussianNB,overall_accuracy_equality,1,14,0.01979324227018639,0.6587992502984205,0.25
GaussianNB,overall_accuracy_equality,1,15,0.04438702481096335,0.6820965744278995,1.0
GaussianNB,overall_accuracy_equality,1,16,0.06574229778074053,0.6661617000562532,0.25
GaussianNB,overall_accuracy_equality,1,17,0.08163040663040666,0.6578771168723455,0.25
GaussianNB,overall_accuracy_equality,1,18,0.09417155713520858,0.6650082825024434,0.25
GaussianNB,overall_accuracy_equality,1,19,0.06398601948063376,0.6423687905433817,0.25
GaussianNB,overall_accuracy_equality,1,20,0.05311602547270594,0.6707198203361091,0.5
GaussianNB,overall_accuracy_equality,1,21,0.03544474356399993,0.6511301654341091,0.5
GaussianNB,overall_accuracy_equality,1,22,0.04404665208973477,0.6867844736789475,0.5
GaussianNB,overall_accuracy_equality,1,23,0.046101832683120125,0.669856844122547,0.5
GaussianNB,overall_accuracy_equality,1,24,0.10912558064851671,0.6653493183364854,0.25
GaussianNB,overall_accuracy_equality,1,25,0.04307664690122809,0.6865875939964747,0.5
GaussianNB,overall_accuracy_equality,1,26,0.03764980458410758,0.6651376834791969,0.5
GaussianNB,overall_accuracy_equality,1,27,0.05992104854268365,0.6771214235255496,0.25
GaussianNB,overall_accuracy_equality,1,28,0.05580149378307178,0.6947711000820915,1.0
GaussianNB,overall_accuracy_equality,1,29,0.07647897165356815,0.6674126777910766,0.75
GaussianNB,overall_accuracy_equality,1,30,0.04172473964538939,0.6906499595802753,0.75
GaussianNB,overall_accuracy_equality,1,31,0.08413378395706067,0.6822580961384244,0.5
GaussianNB,overall_accuracy_equality,1,32,0.04816621340001376,0.679553440093279,0.75
GaussianNB,overall_accuracy_equality,1,33,0.08229655166093988,0.677284636930859,0.5
GaussianNB,overall_accuracy_equality,1,34,0.062456259140954484,0.6886586701138881,0.5
GaussianNB,overall_accuracy_equality,1,35,0.03841379829962138,0.6723256833606244,0.5
GaussianNB,overall_accuracy_equality,1,36,0.09321836354854382,0.6825397053608939,0.0
GaussianNB,overall_accuracy_equality,1,37,0.06157626881881584,0.6884645489627887,0.75
GaussianNB,overall_accuracy_equality,1,38,0.04286117836741973,0.6945400124885226,0.5
GaussianNB,overall_accuracy_equality,1,39,0.12177540868977621,0.6839606133517139,0.5
GaussianNB,overall_accuracy_equality,1,40,0.07054626500766531,0.6573090880829137,0.25
GaussianNB,overall_accuracy_equality,1,41,0.04698891104133884,0.6850409053859811,0.75
GaussianNB,overall_accuracy_equality,1,42,0.0430968524394538,0.661710116060833,0.75
GaussianNB,overall_accuracy_equality,1,43,0.07819315927008133,0.6734049744491905,0.5
GaussianNB,overall_accuracy_equality,1,44,0.05297519463312911,0.6887852380862374,0.75
GaussianNB,overall_accuracy_equality,1,45,0.03666249671897448,0.6609429606360371,0.75
GaussianNB,overall_accuracy_equality,1,46,0.08946320450013394,0.6780349010274347,0.25
GaussianNB,overall_accuracy_equality,1,47,0.06590891497951498,0.6597569799327,0.5
GaussianNB,overall_accuracy_equality,1,48,0.09027670306182468,0.6601437739589464,0.75
GaussianNB,overall_accuracy_equality,1,49,0.03383722266350084,0.6857065235147071,0.75
GaussianNB,overall_accuracy_equality,1,50,0.0800296295922251,0.6619098502891341,0.25
GaussianNB,overall_accuracy_equality,1,51,0.06016500843729053,0.693389528182989,0.75
GaussianNB,overall_accuracy_equality,1,52,0.048330020187666134,0.689256826875752,0.75
GaussianNB,overall_accuracy_equality,1,53,0.07417323929888262,0.6699670284947616,0.75
GaussianNB,overall_accuracy_equality,1,54,0.07904906127394379,0.6712120794398966,0.5
GaussianNB,overall_accuracy_equality,1,55,0.07732643716801738,0.6568222822859948,0.25
GaussianNB,overall_accuracy_equality,1,56,0.056856836767105984,0.6820764250907732,0.5
GaussianNB,overall_accuracy_equality,1,57,0.03592541855133349,0.668369350009975,0.25
